Cédula,Edad,Genero,No de hijos,Nivel Educativo,Estrato Socio,Ingresos,Peso,Talla,Fuma,Lentes,Casa propia,Automovil
1647966542,36,0,2,4,2,3072000,58,179,0,0,1,0
1711539656,46,0,3,2,4,2420000,75,163,1,1,0,0
1987449033,41,0,0,1,2,4425000,72,172,1,0,1,0
1176039127,54,1,0,1,2,4334000,97,180,0,0,0,1
1080216646,35,0,0,1,4,3551000,87,161,1,0,0,1
1868189872,51,0,2,4,3,2233000,68,168,1,1,1,0
1782939165,25,0,2,4,2,5343000,85,170,0,1,1,1
1085422030,31,1,1,4,4,5256000,61,183,1,1,0,0
1972593972,34,0,0,1,4,3182000,63,166,0,1,1,0
1371229610,41,1,1,3,3,4231000,80,161,0,1,1,1
1839782268,33,1,1,4,3,2833000,79,173,0,0,0,0
1933767286,33,0,2,4,4,4076000,78,182,1,0,0,1
1493867304,26,0,3,4,3,5583000,67,164,1,0,0,0
1506819688,24,1,2,3,2,1847000,86,173,1,0,1,1
1821209032,42,1,3,3,2,4542000,62,163,0,1,0,0
1718409216,42,0,1,4,3,3365000,83,172,1,0,0,0
1092582221,31,0,0,3,3,1881000,79,164,1,0,1,1
1122663782,48,1,1,1,4,1939000,75,167,1,0,1,1
1034944488,33,1,2,1,3,5034000,89,178,0,1,1,1
1541482170,48,0,2,2,3,5422000,80,177,0,0,1,1
1360423091,57,1,2,1,4,4091000,97,163,1,1,1,0
1936081354,41,1,2,2,2,2664000,86,163,1,0,1,1
1632922462,38,0,1,1,4,1702000,79,183,0,0,1,0
1034145123,31,0,1,4,2,4318000,73,176,1,0,1,0
1042595048,57,0,1,4,3,3387000,74,172,0,1,0,0
1323059063,53,1,3,4,4,5157000,76,175,1,1,0,0
1684818576,29,1,3,3,4,2379000,94,163,0,0,0,0
1972303058,56,1,2,4,4,2756000,96,162,1,1,1,1
1914652979,41,1,2,4,3,4414000,95,168,1,0,1,0
1195444610,38,1,3,2,3,4000000,64,168,1,1,1,0
1779419062,46,0,0,3,3,4924000,66,178,1,0,0,1
1469590760,35,0,0,1,3,3378000,98,163,0,1,1,1
1627524855,24,0,1,4,4,2081000,70,169,0,0,0,1
1744886550,49,0,1,2,2,2392000,91,164,1,1,1,0
1381878413,55,0,2,1,3,1765000,96,173,1,1,1,0
1911147968,40,1,2,2,2,4539000,94,166,0,0,1,0
1111840385,22,1,2,1,2,2452000,83,174,0,0,0,1
1988507026,36,1,1,4,3,3886000,91,166,1,1,1,0
1367002504,24,0,0,4,4,3992000,92,171,0,0,1,0
1318528478,26,1,2,1,3,2725000,88,174,1,0,1,0
1225710011,49,1,3,4,2,2466000,75,167,1,1,0,0
1293999716,51,0,2,1,4,5500000,90,162,0,1,1,1
1568714584,37,0,0,2,2,1697000,74,167,0,0,1,0
1135710730,57,0,0,2,4,3531000,62,168,1,0,1,1
1118534633,27,0,0,1,2,5439000,87,167,1,0,1,1
1604326893,30,1,3,1,2,3993000,60,175,1,1,1,1
1820445858,53,1,3,4,4,2460000,62,181,1,0,1,1
1941791397,46,1,3,2,4,5402000,93,166,1,1,1,1
1403934901,54,1,1,1,2,2159000,62,173,1,0,0,1
1999387013,49,1,0,2,2,5410000,69,168,1,0,1,1
1526501798,31,1,3,1,3,3488000,89,180,1,1,0,1
1531598685,50,1,2,3,3,5023000,76,175,0,0,1,0
1495755647,27,1,2,2,4,4884000,93,180,0,0,0,1
1632897077,57,0,2,2,3,4726000,60,182,0,0,0,1
1704901629,45,1,1,3,3,2332000,79,170,1,1,0,1
1220759917,43,1,1,2,3,3936000,97,175,1,1,0,0
1952019654,52,0,1,4,2,2000000,86,182,1,0,0,1
1293791906,21,0,2,3,4,2643000,60,173,1,1,1,0
1497198201,42,0,1,1,3,5167000,65,163,1,1,0,0
1994927121,28,1,2,4,3,3380000,70,168,0,0,1,0
1332712191,36,0,0,1,2,3381000,74,177,0,1,0,1
1095846604,35,1,3,1,3,4950000,81,167,0,0,1,1
1633407540,39,1,0,2,4,5231000,62,168,0,0,1,0
1613675292,25,0,1,1,4,3949000,76,182,1,1,0,0
1691472196,57,0,3,1,4,5026000,82,169,0,0,1,1
1273072222,32,1,2,2,2,2029000,66,177,0,1,0,1
1472659477,31,1,3,2,3,2362000,87,171,1,1,0,1
1003402588,44,1,3,2,3,2192000,75,174,1,1,1,1
1197937477,47,0,0,1,2,2939000,58,164,1,0,0,1
1859973010,32,1,2,1,4,3302000,65,167,1,1,0,1
1086351017,48,0,0,2,2,1945000,93,167,0,1,1,1
1654714481,56,1,3,1,2,2265000,84,175,1,0,1,0
1589024386,46,1,1,2,4,1674000,76,172,1,1,1,0
1546628558,52,0,1,1,4,3547000,89,176,1,1,0,1
1213627590,39,1,1,4,2,2464000,67,181,0,0,1,1
1713747437,53,1,0,1,2,2200000,97,179,0,0,0,0
1853351201,31,1,0,3,2,3440000,69,170,1,0,0,1
1982699243,46,1,1,2,4,3185000,85,175,1,1,0,1
1689283736,34,1,0,4,3,1604000,67,173,1,1,1,1
1605147766,37,1,2,3,4,2727000,98,161,0,1,1,1
1013281454,46,1,2,3,2,1741000,79,173,1,0,1,0
1444804844,55,0,0,4,4,2662000,58,173,1,1,1,0
1892221344,25,1,1,3,3,3239000,66,180,0,1,0,1
1290311719,52,0,0,4,4,3118000,60,181,0,1,0,0
1456443129,28,1,3,1,3,2975000,62,171,0,0,1,1
1779959436,31,1,3,1,4,3150000,73,175,1,1,1,0
1902295751,26,1,2,2,3,5073000,97,162,1,1,1,1
1431201790,37,0,1,3,4,4482000,59,169,1,1,0,0
1649699096,23,1,2,2,2,1690000,79,173,1,0,1,1
1639649520,30,1,0,3,4,4671000,80,178,0,1,0,1
1681941323,25,1,3,2,4,5563000,74,180,0,1,1,1
1487762791,49,1,2,3,3,3991000,86,164,1,0,1,1
1321548938,39,0,3,3,2,2229000,76,163,0,1,1,1
1479595573,25,1,1,1,2,5552000,74,181,1,1,0,0
1001023688,39,0,1,2,2,3182000,64,183,0,0,0,0
1881862390,44,1,2,3,4,4266000,95,170,1,1,0,1
1761666284,22,0,0,3,3,4513000,87,178,1,1,1,0
1635538498,57,0,1,2,3,4456000,64,168,1,0,0,0
1192588192,27,1,3,3,3,3074000,71,174,0,0,0,0
1791278554,46,0,1,2,4,5687000,70,177,0,0,1,0
1319039721,54,1,3,1,4,2314000,91,166,1,1,1,1
